root,target,path,cost
9,41,null,null
9,42,null,null
9,43,null,null
9,44,null,null
9,45,null,null
9,46,46 <- 28 <- 9,10
9,47,47 <- 40 <- 28 <- 9,11
9,48,null,null
9,49,49 <- 26 <- 9,15
9,50,null,null
9,51,51 <- 40 <- 28 <- 9,22
9,52,null,null
9,53,53 <- 49 <- 26 <- 9,20
9,54,54 <- 28 <- 9,13
9,55,55 <- 30 <- 26 <- 9,28
9,56,null,null
9,57,null,null
9,58,58 <- 46 <- 28 <- 9,23
9,59,59 <- 54 <- 28 <- 9,22
9,60,null,null
9,61,61 <- 19 <- 9,14
9,62,62 <- 58 <- 46 <- 28 <- 9,31
9,63,null,null
9,64,null,null
9,65,65 <- 28 <- 9,16
9,66,66 <- 53 <- 49 <- 26 <- 9,29
9,67,null,null
9,68,68 <- 40 <- 28 <- 9,23
9,69,69 <- 37 <- 28 <- 9,16
9,70,null,null
9,71,71 <- 46 <- 28 <- 9,15
9,72,null,null
9,73,73 <- 65 <- 28 <- 9,20
9,74,74 <- 61 <- 19 <- 9,18
9,75,75 <- 58 <- 46 <- 28 <- 9,38
9,76,76 <- 61 <- 19 <- 9,22
9,77,77 <- 71 <- 46 <- 28 <- 9,23
9,78,78 <- 49 <- 26 <- 9,27
9,79,79 <- 66 <- 53 <- 49 <- 26 <- 9,39
9,80,80 <- 40 <- 28 <- 9,21
9,81,81 <- 40 <- 28 <- 9,10
9,82,82 <- 61 <- 19 <- 9,24
9,83,83 <- 79 <- 66 <- 53 <- 49 <- 26 <- 9,54
9,84,84 <- 36 <- 28 <- 9,33
9,85,85 <- 61 <- 19 <- 9,19
9,86,86 <- 76 <- 61 <- 19 <- 9,24
9,87,null,null
9,88,88 <- 46 <- 28 <- 9,20
9,89,89 <- 78 <- 49 <- 26 <- 9,36
9,90,90 <- 47 <- 40 <- 28 <- 9,13
9,91,91 <- 49 <- 26 <- 9,18
9,92,92 <- 47 <- 40 <- 28 <- 9,15
9,93,93 <- 47 <- 40 <- 28 <- 9,24
9,94,null,null
9,95,95 <- 66 <- 53 <- 49 <- 26 <- 9,44
9,96,96 <- 92 <- 47 <- 40 <- 28 <- 9,24
9,97,97 <- 76 <- 61 <- 19 <- 9,25
9,98,98 <- 53 <- 49 <- 26 <- 9,35
9,99,99 <- 53 <- 49 <- 26 <- 9,26
9,100,null,null
10,11,11 <- 10,3
10,12,null,null
10,13,null,null
10,14,null,null
10,15,15 <- 10,12
10,16,16 <- 10,11
10,17,null,null
10,18,null,null
10,19,19 <- 11 <- 10,9
10,20,null,null
10,21,null,null
10,22,null,null
10,23,23 <- 16 <- 10,19
10,24,null,null
10,25,25 <- 23 <- 16 <- 10,22
10,26,null,null
10,27,27 <- 16 <- 10,23
10,28,null,null
10,29,29 <- 16 <- 10,14
10,30,null,null
10,31,31 <- 11 <- 10,9
10,32,null,null
10,33,33 <- 16 <- 10,13
10,34,34 <- 11 <- 10,10
10,35,null,null
10,36,36 <- 31 <- 11 <- 10,20
10,37,37 <- 33 <- 16 <- 10,19
10,38,null,null
10,39,39 <- 10,7
10,40,40 <- 27 <- 16 <- 10,25
10,41,41 <- 39 <- 10,16
10,42,42 <- 16 <- 10,17
10,43,43 <- 33 <- 16 <- 10,16
10,44,44 <- 31 <- 11 <- 10,15
10,45,45 <- 29 <- 16 <- 10,23
10,46,46 <- 39 <- 10,16
10,47,47 <- 16 <- 10,13
10,48,48 <- 42 <- 16 <- 10,22
10,49,null,null
10,50,50 <- 33 <- 16 <- 10,21
10,51,51 <- 40 <- 27 <- 16 <- 10,39
10,52,null,null
10,53,null,null
10,54,null,null
10,55,55 <- 50 <- 33 <- 16 <- 10,23
10,56,null,null
10,57,57 <- 43 <- 33 <- 16 <- 10,27
10,58,58 <- 46 <- 39 <- 10,29
10,59,59 <- 44 <- 31 <- 11 <- 10,19
10,60,60 <- 42 <- 16 <- 10,20
10,61,61 <- 19 <- 11 <- 10,11
10,62,62 <- 43 <- 33 <- 16 <- 10,18
10,63,63 <- 29 <- 16 <- 10,20
10,64,null,null
10,65,null,null
10,66,66 <- 34 <- 11 <- 10,16
